,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
3141,2006,150000,140300,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
3142,2010,115999,70000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 2010-2014,VXI
3161,2016,375000,23000,Petrol,Dealer,Manual,Second Owner,Maruti,Wagon R,VXI
3162,2007,275000,10211,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo LXI,BSIII
3163,2005,120000,120000,Diesel,Individual,Manual,Third Owner,Mahindra,Scorpio 2.6 SLX Turbo 7,Seater
3164,2015,350000,120000,Diesel,Individual,Manual,First Owner,Maruti,Celerio,ZDi
3165,2017,409999,35000,Petrol,Individual,Manual,First Owner,Maruti,Celerio,ZXI
3166,2012,500000,130000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6,SX
3167,2013,220000,90000,Diesel,Individual,Manual,Second Owner,Nissan,Sunny Diesel,XL
3168,2008,120000,80000,Petrol,Individual,Manual,Second Owner,Ford,Fiesta 1.6 Duratec EXI,Ltd
3169,2007,70000,55000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing,XK
3170,2017,800000,15000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire ZXI,Plus
3171,2014,450000,260000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDI
3172,2012,525000,145000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio SLE,BSIV
3173,2016,300000,35000,Petrol,Individual,Manual,First Owner,Datsun,GO Plus Remix Limited,Edition
3174,2008,195000,56000,Petrol,Individual,Manual,Second Owner,Hyundai,i10,Magna
3175,2007,130000,98000,Diesel,Individual,Manual,Second Owner,Ford,Fiesta Classic 1.4 SXI,Duratorq
3176,2011,300000,135000,Diesel,Individual,Manual,Second Owner,Toyota,Etios,VD
3177,2002,120000,60000,Petrol,Individual,Manual,Third Owner,Maruti,Alto,VXi
3178,2010,450000,120000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5,G3
3179,2010,160000,102000,Diesel,Individual,Manual,Second Owner,Tata,Indigo,LS
3180,2018,800000,35000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus Plus AC BSIV,PS
3181,2013,100000,80000,Petrol,Individual,Manual,First Owner,Maruti,800,AC
3183,2015,265000,32933,Petrol,Dealer,Manual,First Owner,Maruti,Alto 800,LXI
3184,2008,175000,54551,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R,LXI
3185,2014,250999,57112,Petrol,Dealer,Manual,First Owner,Maruti,Omni 8 Seater,BSIV
3186,2015,471000,41025,Petrol,Dealer,Automatic,First Owner,Hyundai,Xcent 1.2 VTVT S,AT
3187,2019,650000,5000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,LDI
3189,2012,225000,53122,Petrol,Dealer,Manual,Second Owner,Hyundai,EON,Magna
3190,2013,245000,64111,CNG,Dealer,Manual,First Owner,Maruti,Alto 800 LXI,CNG
3191,2011,221000,78892,Petrol,Dealer,Manual,First Owner,Maruti,Ritz,LXi
3192,2011,271000,74113,Petrol,Dealer,Manual,First Owner,Hyundai,i20 1.2,Asta
3193,2012,290000,80000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R,VXI
3194,2017,525000,39000,Petrol,Dealer,Manual,First Owner,Maruti,Swift VXi,BSIV
3195,2012,377000,84775,Petrol,Dealer,Manual,First Owner,Volkswagen,Vento 1.6,Highline
3196,2012,95000,20778,Petrol,Dealer,Manual,First Owner,Tata,Nano LX,SE
3197,2015,763000,64441,Diesel,Dealer,Manual,First Owner,Maruti,Ertiga,VDI
3198,2015,450000,43192,Petrol,Dealer,Manual,First Owner,Honda,Amaze S,i-Vtech
3199,2014,140000,44416,Petrol,Dealer,Manual,First Owner,Tata,Nano Twist,XE
3200,2016,701000,79991,Diesel,Dealer,Manual,First Owner,Maruti,Ciaz VDi Plus,SHVS
3201,2011,277000,62601,Diesel,Dealer,Manual,Second Owner,Nissan,Micra Diesel,XV
3202,2018,520000,50000,Petrol,Individual,Automatic,First Owner,Maruti,Baleno Delta,Automatic
3203,2017,550000,100000,Diesel,Individual,Manual,First Owner,Ford,Figo Aspire 1.5 TDCi Ambiente,ABS
3204,2011,260000,97000,Diesel,Individual,Manual,Third Owner,Volkswagen,Vento Diesel,Highline
3205,2015,420000,100000,Diesel,Individual,Manual,First Owner,Renault,Pulse,RxZ
3206,2002,35000,100000,Petrol,Individual,Manual,Third Owner,OpelCorsa,1.4,GL
3207,2018,1150000,20000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W7,BSIV
3208,2017,680000,46000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4,Zeta
3209,2012,425000,40000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
3210,2014,450000,70000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,LDI
3211,2008,590000,89600,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 GX (Diesel) 8 Seater BS,IV
3212,2017,936999,60800,Petrol,Individual,Manual,First Owner,Volkswagen,Jetta 1.4 TSI,Comfortline
3213,2015,420000,104000,Diesel,Individual,Manual,Second Owner,Honda,Mobilio S i,DTEC
3214,2014,450000,80000,Diesel,Individual,Manual,Second Owner,Volkswagen,Polo 1.5 TDI,Highline
3215,2004,40000,69111,Petrol,Individual,Manual,Third Owner,Maruti,800,AC
3216,2014,520000,70000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G (Diesel) 8,Seater
3217,2007,80000,120000,Petrol,Individual,Manual,First Owner,Maruti,800,AC
3218,2014,55000,40000,Petrol,Individual,Manual,First Owner,Tata,Nano,CX
3219,2001,80000,100000,Diesel,Individual,Manual,Third Owner,Mahindra,Bolero DI DX 7,Seater
3220,2019,210000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
3222,2017,260000,50000,Diesel,Individual,Manual,First Owner,Tata,Tiago 1.05 Revotorq,XM
3223,2016,250000,70000,Diesel,Individual,Manual,First Owner,Tata,Zest Quadrajet,1.3
3224,2008,80000,90000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Aqua TDI,BSIII
3225,2010,450000,150000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 GX (Diesel) 7 Seater BS,IV
3226,2005,310000,120000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G (Diesel) 8 Seater BS,IV
3247,2014,350000,90000,Petrol,Individual,Manual,Second Owner,Ford,Figo Petrol,EXI
3248,2011,320000,100000,Diesel,Individual,Manual,First Owner,Maruti,SX4,VDI
3249,2016,475000,90000,Diesel,Individual,Manual,First Owner,Honda,Amaze S,i-DTEC
3250,2011,220000,140000,Diesel,Individual,Manual,Second Owner,Tata,Manza Aura (ABS) Quadrajet BS,IV
3271,2008,70000,60000,Petrol,Individual,Manual,First Owner,Tata,Indica GLS BS,IV
3272,2015,281000,40000,Diesel,Individual,Manual,First Owner,Chevrolet,Sail Hatchback 1.3,TCDi
3273,2013,211000,80000,Diesel,Individual,Manual,First Owner,Tata,Indigo Grand,Dicor
3274,2018,550000,11000,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Petrol Magna,Exective
3275,2014,350000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,Enjoy TCDi LT 8,Seater
3276,2017,420000,19890,Petrol,Dealer,Automatic,First Owner,Maruti,Wagon R VXI,AMT
3277,2015,270000,20969,Petrol,Dealer,Manual,First Owner,Renault,KWID,RXT
3278,2016,399000,20194,Petrol,Dealer,Manual,First Owner,Maruti,Celerio,VXI
3279,2016,440000,34982,Petrol,Dealer,Manual,First Owner,Ford,Figo,Trend
3280,2012,250000,44588,Petrol,Dealer,Manual,First Owner,Hyundai,EON,Magna
3281,2016,650000,57904,Diesel,Dealer,Manual,First Owner,Ford,Ecosport 1.5 Diesel,Titanium
3282,2015,270000,59258,Petrol,Dealer,Manual,First Owner,Maruti,Alto K10,VXI
3283,2016,390000,60826,Petrol,Dealer,Manual,First Owner,Ford,Figo,Trend
3284,2018,1500000,50000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W10,2WD
3285,2014,225000,35000,Petrol,Individual,Manual,First Owner,Maruti,800,AC
3286,2015,900000,110000,Diesel,Individual,Manual,Second Owner,Mahindra,XUV500 W8,2WD
3287,2018,1600000,40000,Diesel,Individual,Automatic,First Owner,Hyundai,Tucson 2.0 e-VGT 2WD AT,GL
3288,2019,800000,10000,Petrol,Individual,Manual,First Owner,Tata,Nexon 1.2 Revotron XZ Plus Dual,Tone
3289,2013,320000,50000,Diesel,Individual,Manual,First Owner,Honda,Amaze E,i-Dtech
3290,2016,300000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
3291,2018,740000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Asta Dual,Tone
3292,2019,350000,1300,Petrol,Individual,Manual,First Owner,Datsun,RediGO SV,1.0
3293,2014,280000,40000,Petrol,Individual,Manual,First Owner,Datsun,GO T,BSIV
3294,2018,675000,50000,Diesel,Individual,Automatic,First Owner,Maruti,Swift Dzire AMT,VDI
3295,2011,300000,20000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Era 1.1 iTech,SE
3296,2011,400000,76000,Diesel,Individual,Manual,Third Owner,Chevrolet,Captiva 2.0L,VCDi
3297,2010,420000,100000,Diesel,Individual,Manual,Third Owner,Mahindra,Scorpio VLX 2WD,BSIV
3298,2008,300000,120000,Diesel,Individual,Manual,First Owner,Tata,New Safari 3L Dicor LX,4x2
3299,2010,170000,70000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI,Minor
3300,2014,210000,70000,Petrol,Individual,Manual,Third Owner,Hyundai,EON Era,Plus
3301,2015,600000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga,VDI
3302,2014,260000,38000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
3303,2015,82000,19000,Petrol,Individual,Manual,First Owner,Tata,Nano Twist,XT
3304,2016,690000,75000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300,T8
3305,2015,300000,70000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi,Asta
3306,2017,1250000,30000,Diesel,Individual,Manual,First Owner,Honda,BRV i-DTEC V,MT
3307,2017,799000,31707,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6,EX
3308,2010,1000000,180000,Diesel,Individual,Manual,First Owner,Toyota,Fortuner 3.0,Diesel
3309,2014,190000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800,LXI
3310,2014,250000,30000,Diesel,Individual,Manual,First Owner,Mahindra,Verito 1.5 D2,BSIII
3311,2009,200000,60000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 i,ABS
3312,2005,300000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero,DI
3313,2015,250000,120000,Petrol,Individual,Manual,Second Owner,Tata,Zest Revotron 1.2T,XMS
3314,2008,90000,70000,Petrol,Individual,Manual,Third Owner,Maruti,800,AC
3319,2016,700000,160000,Diesel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel,RxL
3320,2012,1750000,115992,Diesel,Dealer,Automatic,Third Owner,Volvo,XC60 D3,Kinetic
3321,2017,290000,110000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,Optional
3322,2014,1050000,97000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 Z Diesel 7 Seater BS,IV
3323,2008,70000,100000,Diesel,Individual,Manual,Third Owner,Tata,Indigo LX,Dicor
3324,2016,520000,41000,Diesel,Individual,Manual,First Owner,Maruti,Swift ZDi,BSIV
3325,2012,150000,90000,Diesel,Individual,Manual,First Owner,Tata,Indigo,LS
3326,2008,120000,90000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Magna,1.1
3327,2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Asta Option,1.2
3328,2010,150000,70000,Diesel,Individual,Manual,Second Owner,Tata,Xenon XT EX,4X4
3329,2011,400000,60000,Petrol,Individual,Manual,First Owner,Volkswagen,Vento Petrol,Highline
3330,2015,310000,30000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800,LXI
3331,2015,550000,30000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.2
3332,2016,550000,60000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta Option 1.4,CRDi
3333,2013,320000,73000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi,Magna
3334,1992,50000,100000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800 AC,BSII
3337,2017,700000,50000,Diesel,Individual,Manual,Second Owner,Maruti,Vitara Brezza VDi,Option
3338,2012,700000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga,VDI
3339,2017,655000,84000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 1.4,Sportz
3341,2011,200000,110000,LPG,Individual,Manual,First Owner,Chevrolet,Beat LT,LPG
3342,2012,375000,150000,Diesel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel RxL,Optional
3343,2012,470000,109052,Diesel,Dealer,Manual,First Owner,Hyundai,Verna 1.6,SX
3344,2015,550000,90658,Diesel,Dealer,Manual,First Owner,Maruti,Ciaz,VDi
3345,2014,500000,110000,Diesel,Individual,Manual,Second Owner,Honda,Amaze VX,i-DTEC
3346,2015,210000,25000,Petrol,Individual,Manual,First Owner,Datsun,GO T Option,BSIV
3350,2013,1451000,81000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,E-Class E250 Edition,E
3352,2009,245000,75000,Diesel,Dealer,Automatic,First Owner,Hyundai,Verna SX AT,Diesel
3353,2017,700000,25552,Petrol,Dealer,Manual,Second Owner,Honda,WR-V i-VTEC,VX
3354,2018,300000,20000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna,Plus
3355,2017,350000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.2 CRDi,E
3356,2017,635000,25000,Petrol,Dealer,Automatic,First Owner,Hyundai,Elite i20 Asta Option CVT,BSIV
3357,2012,325000,40700,Petrol,Individual,Manual,First Owner,Honda,City,S
3358,2017,1150000,65500,Diesel,Dealer,Automatic,First Owner,Mahindra,XUV500 AT W10 1.99,mHawk
3359,2008,110000,42000,Petrol,Dealer,Manual,First Owner,Tata,Indigo GLE,BSIII
3360,2018,890000,8000,Petrol,Dealer,Manual,First Owner,Honda,City 1.5 V,MT
3361,2007,73000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Swift 1.3,LXI
3363,2016,750000,6000,Petrol,Dealer,Manual,First Owner,Maruti,Ciaz ZXi,Plus
3365,2018,690000,11174,Petrol,Dealer,Manual,First Owner,Maruti,Baleno Alpha,1.2
3366,2008,130000,120000,Petrol,Individual,Manual,First Owner,Tata,Indigo,GLS
3368,2007,85000,85000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing,GLS
3369,2018,1575000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,Elantra 2.0 SX,AT
3370,2013,325000,105000,Diesel,Individual,Manual,First Owner,Nissan,Sunny Diesel,XV
3371,1998,85000,120000,Petrol,Individual,Manual,Second Owner,Honda,City 1.3,EXI
3372,2018,860000,30000,Diesel,Dealer,Manual,Second Owner,Hyundai,Verna 1.6 CRDI SX,Option
3373,2017,690000,41000,Diesel,Individual,Manual,First Owner,Maruti,S-Cross Sigma DDiS 200,SH
3374,2013,650000,54000,Diesel,Dealer,Manual,First Owner,Hyundai,Elantra CRDi,S
3375,2014,375000,40000,Diesel,Individual,Manual,First Owner,Chevrolet,Sail LS,ABS
3376,2013,525000,71000,Diesel,Dealer,Manual,First Owner,Hyundai,Verna 1.6 SX CRDi,(O)
3377,2016,330000,72500,Petrol,Dealer,Manual,First Owner,Maruti,Eeco Smiles 5 Seater,AC
3378,2013,280000,76600,Petrol,Dealer,Manual,First Owner,Maruti,Eeco Smiles 5 Seater,AC
3379,2014,470000,40000,Petrol,Individual,Manual,First Owner,Maruti,Swift,ZXI
3380,2011,350000,110000,Diesel,Individual,Manual,First Owner,Volkswagen,Polo Diesel Trendline,1.2L
3381,2012,480000,63000,Petrol,Dealer,Manual,First Owner,Honda,City 1.5 V,Elegance
3382,2016,620000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 CRDi,SX
3383,2014,250000,58000,Petrol,Individual,Manual,First Owner,Datsun,GO T,BSIV
3384,2010,78692,80000,Petrol,Individual,Manual,Second Owner,Chevrolet,Spark,1.0
3385,2012,350000,80000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Magna Optional 1.4,CRDi
3386,2013,250000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LX,Minor
3387,2011,260000,97700,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,i20 1.2,Sportz
3388,2016,640000,36000,Diesel,Individual,Manual,Second Owner,Honda,Mobilio S i,DTEC
3389,2008,220000,90000,Diesel,Individual,Manual,Second Owner,Tata,New Safari DICOR 2.2 EX,4x2
3390,2015,465000,130000,Diesel,Individual,Manual,First Owner,Volkswagen,Vento 1.5 TDI,Highline
3391,2010,229999,120000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Vdi,BSIII
3392,2018,425000,15000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS,IV
3393,2008,95000,120000,Petrol,Individual,Manual,Third Owner,Tata,Indica GLS BS,IV
3394,2012,170000,170000,LPG,Individual,Manual,Third Owner,Hyundai,EON LPG Magna,Plus
3395,2016,229999,37500,Petrol,Individual,Manual,Second Owner,Datsun,RediGO T,Option
3396,1999,45000,50000,Petrol,Individual,Manual,Third Owner,Maruti,800,Std
3397,2007,479000,145000,Petrol,Individual,Manual,Third Owner,Maruti,Grand Vitara,MT
3399,2016,340000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON,Sportz
3400,2016,620000,35000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire,ZXI
3401,2012,270000,60000,Diesel,Individual,Manual,First Owner,Tata,Manza Club Class Quadrajet90,EX
3402,2018,400000,35000,Diesel,Individual,Manual,First Owner,Tata,Tiago 1.05 Revotorq XZ,Plus
3403,2015,260000,40000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI,Optional
3404,2003,48000,50000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,Santro LE,zipPlus
3405,2015,100000,23800,Petrol,Individual,Manual,Second Owner,Tata,Nano Twist,XE
3406,2015,490000,70000,Diesel,Individual,Manual,First Owner,Nissan,Terrano XL Plus 85,PS
3407,2010,120000,90000,LPG,Individual,Manual,Second Owner,Maruti,Wagon R Duo,Lxi
3408,2008,125000,102000,Petrol,Individual,Manual,Second Owner,Hyundai,i10,Era
3410,2019,190000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
3415,2011,500000,20000,Petrol,Individual,Manual,First Owner,Fiat,Linea T Jet,Plus
3416,2014,1800000,99000,Diesel,Individual,Automatic,First Owner,Toyota,Fortuner 4x2,AT
3417,2008,320000,90000,Petrol,Individual,Manual,First Owner,Honda,Civic 1.8 V,MT
3418,2007,250000,47000,Petrol,Dealer,Automatic,First Owner,Honda,Civic 1.8 S,AT
3419,2010,105000,90000,Diesel,Individual,Manual,Third Owner,Ford,Figo Diesel,Titanium
3420,2018,550000,20000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2,SX
3421,2019,600000,1100,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz,AT
3422,2020,210000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,VXI
3423,2012,210000,15000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI,Airbag
3424,2009,150000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
3425,2008,125000,60000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Era,1.1
3426,2016,380000,20000,Petrol,Individual,Manual,First Owner,Maruti,Celerio,VXI
3427,2019,600000,5000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta,1.2
3428,2016,490000,27000,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI,Deca
3429,2018,545000,38000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,LDI
3430,2015,250000,25000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS,IV
3431,2020,1050000,1100,Petrol,Individual,Manual,First Owner,Hyundai,Venue SX Opt Turbo,BSIV
3432,2007,100000,100000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LX,Minor
3433,2014,250000,100000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,ZXI
3434,2007,100000,110000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LX,BSIII
3435,2016,350000,60000,Diesel,Individual,Manual,Second Owner,Ford,Figo 1.5D Ambiente ABS,MT
3436,2012,370000,70000,Diesel,Individual,Manual,Second Owner,Renault,Duster 110PS Diesel RxZ,Plus
3437,2004,121000,110000,Petrol,Individual,Manual,Second Owner,Maruti,Zen VXi - BS,III
3438,2017,570000,44077,Petrol,Dealer,Automatic,First Owner,Ford,Figo Aspire 1.5 Ti-VCT,Titanium
3439,2017,785000,24000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS,VDI
3440,2018,850000,30000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz S,1.3
3441,2016,375000,30000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
3442,2017,619000,40000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.2
3443,2011,335000,90000,Diesel,Individual,Manual,Second Owner,Chevrolet,Cruze,LTZ
3444,2006,500000,50000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 8 Seater BS,IV
3445,2003,60000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R,LX
3447,2015,210000,210000,Diesel,Individual,Manual,First Owner,Mahindra,Ingenio,CRDe
3448,2019,1900000,20000,Diesel,Individual,Manual,First Owner,Toyota,Innova Crysta 2.4 VX MT 8S,BSIV
3449,2013,270000,70000,Diesel,Individual,Manual,Second Owner,Tata,Indigo,TDI
3450,2010,225000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,Minor
3451,2011,150000,160000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 ZXI MT,BSIV
3452,2013,173000,70000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LT
3453,2018,4800000,9422,Diesel,Individual,Automatic,First Owner,BMW,5 Series 520d Luxury,Line
3454,2017,710000,110000,Diesel,Individual,Automatic,First Owner,Volkswagen,Vento 1.5 Highline Plus AT 16,Alloy
3455,2019,1500000,20000,Petrol,Individual,Manual,First Owner,Toyota,Corolla Altis 1.8,GL
3456,2017,550000,20000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Zeta,1.2
3457,2008,58000,70000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC,BSIII
3458,2012,1200000,60000,Petrol,Individual,Automatic,Third Owner,Audi,A4 1.8,TFSI
3459,2013,500000,150000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio,M2DI
3460,2009,120000,83000,Petrol,Individual,Manual,Second Owner,Maruti,Swift LXi,BSIV
3461,2012,300000,250000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 EV Diesel PS 7 Seater,BSIII
3462,2018,300000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
3463,2015,295000,21000,Petrol,Individual,Manual,First Owner,Datsun,GO Plus T Option,BSIV
3464,2018,587000,80000,CNG,Individual,Manual,First Owner,Maruti,Ertiga VXI,CNG
3465,2012,430000,50000,Petrol,Individual,Manual,Second Owner,Ambassador,Grand 1800 ISZ MPFI PW,CL
3466,2007,123000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna i,(Petrol)
3467,2012,450000,48500,Diesel,Individual,Automatic,Second Owner,Skoda,Laura Ambiente 2.0 TDI CR,AT
3468,2007,130000,60000,Petrol,Individual,Manual,Third Owner,Maruti,Wagon R LXI,Minor
3469,2010,110000,90000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.4,TDI
3470,2010,200000,240000,Diesel,Individual,Manual,Third Owner,Mahindra,Xylo Celebration Edition,BSIV
3471,2015,320000,70000,Petrol,Individual,Manual,Second Owner,Hyundai,Grand i10,Magna
3472,2014,300000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI BS,IV
3473,2016,350000,110000,Petrol,Individual,Manual,First Owner,Volkswagen,CrossPolo 1.2,MPI
3474,2018,800000,50000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI,Petrol
3475,2016,270000,175000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi,S
3476,2017,540000,60000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Magna,Executive
3477,2011,160000,60000,CNG,Individual,Manual,Second Owner,Maruti,Wagon R LXI,CNG
3478,2013,340000,100000,Diesel,Individual,Manual,Second Owner,Maruti,SX4,VDI
3479,2017,350000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Eeco 5 Seater AC,BSIV
3480,2011,300000,100000,Diesel,Individual,Manual,First Owner,Volkswagen,Vento Diesel Style Limited,Edition
3481,2013,330000,63000,Diesel,Individual,Manual,First Owner,Maruti,Ritz,VDi
3482,2016,325000,80000,CNG,Individual,Manual,Second Owner,Maruti,Wagon R LXI,CNG
3483,2013,250000,55000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
3484,2013,250000,55000,Diesel,Individual,Manual,First Owner,Maruti,Swift Star,VDI
3485,2015,240000,60000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat LT,Option
3486,2020,545000,5000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Magna,BSIV
3487,2015,300000,48000,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna 1.1 iTech,SE
3489,2017,240000,50000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXT
3490,2018,360000,15000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
3491,2012,250000,70000,Diesel,Individual,Manual,First Owner,Hyundai,i20 1.4 CRDi,Magna
3492,2019,475000,105000,Diesel,Dealer,Automatic,First Owner,Skoda,Laura Elegance 2.0 TDI CR,AT
3493,2016,600000,50000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 Asta Option 1.4,CRDi
3494,2010,150000,80000,Diesel,Individual,Manual,Second Owner,Tata,Indigo,CR4
3495,2017,700000,50000,Diesel,Individual,Manual,First Owner,Ford,EcoSport 1.5 Diesel Trend,BSIV
3496,2016,1290000,5000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W6,2WD
3499,2018,500000,10000,Petrol,Individual,Automatic,First Owner,Maruti,Celerio ZXI AMT,BSIV
3500,2012,193000,45000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing,GLS
3501,2015,800000,10000,Petrol,Individual,Manual,First Owner,Honda,City i VTEC,V
3502,2008,150000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI,Minor
3503,2002,80000,40000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800,AC
3504,2010,130000,100000,Diesel,Individual,Manual,Third Owner,Ford,Figo Diesel,EXI
3505,2012,280000,80000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,EXI
3506,2011,229999,110000,Diesel,Individual,Manual,Second Owner,Mahindra,Xylo D2 BS,IV
3507,2008,80000,120000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo VXI,BSIII
